,onehotencoder__x0_Bream,onehotencoder__x0_Parkki,onehotencoder__x0_Perch,onehotencoder__x0_Pike,onehotencoder__x0_Roach,onehotencoder__x0_Smelt,onehotencoder__x0_Whitefish,Weight,Length1,Height,Width
29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,33.5,18.957,6.603
30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,920.0,35.0,18.0369,6.3063
31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,955.0,35.0,18.084,6.292
32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,925.0,36.2,18.7542,6.7497
33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,975.0,37.4,18.6354,6.7473
34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,950.0,38.0,17.6235,6.3705
35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40.0,12.9,4.1472,2.268
36,0.0,0.0,0.0,0.0,1.0,0.0,0.0,69.0,16.5,5.2983,2.8217
37,0.0,0.0,0.0,0.0,1.0,0.0,0.0,78.0,17.5,5.5756,2.9044
38,0.0,0.0,0.0,0.0,1.0,0.0,0.0,87.0,18.2,5.6166,3.1746
39,0.0,0.0,0.0,0.0,1.0,0.0,0.0,120.0,18.6,6.216,3.5742
40,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,6.4752,3.3516
41,0.0,0.0,0.0,0.0,1.0,0.0,0.0,110.0,19.1,6.1677,3.3957
42,0.0,0.0,0.0,0.0,1.0,0.0,0.0,120.0,19.4,6.1146,3.2943
43,0.0,0.0,0.0,0.0,1.0,0.0,0.0,150.0,20.4,5.8045,3.7544
44,0.0,0.0,0.0,0.0,1.0,0.0,0.0,145.0,20.5,6.6339,3.5478
45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,160.0,20.5,7.0334,3.8203
46,0.0,0.0,0.0,0.0,1.0,0.0,0.0,140.0,21.0,6.55,3.325
47,0.0,0.0,0.0,0.0,1.0,0.0,0.0,160.0,21.1,6.4,3.8
48,0.0,0.0,0.0,0.0,1.0,0.0,0.0,169.0,22.0,7.5344,3.8352
49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,161.0,22.0,6.9153,3.6312
50,0.0,0.0,0.0,0.0,1.0,0.0,0.0,200.0,22.1,7.3968,4.1272
51,0.0,0.0,0.0,0.0,1.0,0.0,0.0,180.0,23.6,7.0866,3.906
52,0.0,0.0,0.0,0.0,1.0,0.0,0.0,290.0,24.0,8.8768,4.4968
53,0.0,0.0,0.0,0.0,1.0,0.0,0.0,272.0,25.0,8.568,4.7736
54,0.0,0.0,0.0,0.0,1.0,0.0,0.0,390.0,29.5,9.485,5.355
55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,270.0,23.6,8.3804,4.2476
56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,270.0,24.1,8.1454,4.2485
57,0.0,0.0,0.0,0.0,0.0,0.0,1.0,306.0,25.6,8.778,4.6816
58,0.0,0.0,0.0,0.0,0.0,0.0,1.0,540.0,28.5,10.744,6.562
59,0.0,0.0,0.0,0.0,0.0,0.0,1.0,800.0,33.7,11.7612,6.5736
60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000.0,37.3,12.354,6.525
61,0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,13.5,6.8475,2.3265
62,0.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,14.3,6.5772,2.3142
63,0.0,1.0,0.0,0.0,0.0,0.0,0.0,90.0,16.3,7.4052,2.673
64,0.0,1.0,0.0,0.0,0.0,0.0,0.0,120.0,17.5,8.3922,2.9181
65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,150.0,18.4,8.8928,3.2928
66,0.0,1.0,0.0,0.0,0.0,0.0,0.0,140.0,19.0,8.5376,3.2944
67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,170.0,19.0,9.396,3.4104
68,0.0,1.0,0.0,0.0,0.0,0.0,0.0,145.0,19.8,9.7364,3.1571
69,0.0,1.0,0.0,0.0,0.0,0.0,0.0,200.0,21.2,10.3458,3.6636
70,0.0,1.0,0.0,0.0,0.0,0.0,0.0,273.0,23.0,11.088,4.144
71,0.0,1.0,0.0,0.0,0.0,0.0,0.0,300.0,24.0,11.368,4.234
72,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.9,7.5,2.112,1.408
73,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,12.5,3.528,1.9992
74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40.0,13.8,3.824,2.432
75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,51.5,15.0,4.5924,2.6316
76,0.0,0.0,1.0,0.0,0.0,0.0,0.0,70.0,15.7,4.588,2.9415
77,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,16.2,5.2224,3.3216
78,0.0,0.0,1.0,0.0,0.0,0.0,0.0,78.0,16.8,5.1992,3.1234
79,0.0,0.0,1.0,0.0,0.0,0.0,0.0,80.0,17.2,5.6358,3.0502
80,0.0,0.0,1.0,0.0,0.0,0.0,0.0,85.0,17.8,5.1376,3.0368
81,0.0,0.0,1.0,0.0,0.0,0.0,0.0,85.0,18.2,5.082,2.772
82,0.0,0.0,1.0,0.0,0.0,0.0,0.0,110.0,19.0,5.6925,3.555
83,0.0,0.0,1.0,0.0,0.0,0.0,0.0,115.0,19.0,5.9175,3.3075
84,0.0,0.0,1.0,0.0,0.0,0.0,0.0,125.0,19.0,5.6925,3.6675
85,0.0,0.0,1.0,0.0,0.0,0.0,0.0,130.0,19.3,6.384,3.534
86,0.0,0.0,1.0,0.0,0.0,0.0,0.0,120.0,20.0,6.11,3.4075
87,0.0,0.0,1.0,0.0,0.0,0.0,0.0,120.0,20.0,5.64,3.525
88,0.0,0.0,1.0,0.0,0.0,0.0,0.0,130.0,20.0,6.11,3.525
89,0.0,0.0,1.0,0.0,0.0,0.0,0.0,135.0,20.0,5.875,3.525
90,0.0,0.0,1.0,0.0,0.0,0.0,0.0,110.0,20.0,5.5225,3.995
91,0.0,0.0,1.0,0.0,0.0,0.0,0.0,130.0,20.5,5.856,3.624
92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,150.0,20.5,6.792,3.624
93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,145.0,20.7,5.9532,3.63
94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,150.0,21.0,5.2185,3.626
95,0.0,0.0,1.0,0.0,0.0,0.0,0.0,170.0,21.5,6.275,3.725
96,0.0,0.0,1.0,0.0,0.0,0.0,0.0,225.0,22.0,7.293,3.723
97,0.0,0.0,1.0,0.0,0.0,0.0,0.0,145.0,22.0,6.375,3.825
98,0.0,0.0,1.0,0.0,0.0,0.0,0.0,188.0,22.6,6.7334,4.1658
99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,180.0,23.0,6.4395,3.6835
100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,197.0,23.5,6.561,4.239
101,0.0,0.0,1.0,0.0,0.0,0.0,0.0,218.0,25.0,7.168,4.144
102,0.0,0.0,1.0,0.0,0.0,0.0,0.0,300.0,25.2,8.323,5.1373
103,0.0,0.0,1.0,0.0,0.0,0.0,0.0,260.0,25.4,7.1672,4.335
104,0.0,0.0,1.0,0.0,0.0,0.0,0.0,265.0,25.4,7.0516,4.335
105,0.0,0.0,1.0,0.0,0.0,0.0,0.0,250.0,25.4,7.2828,4.5662
106,0.0,0.0,1.0,0.0,0.0,0.0,0.0,250.0,25.9,7.8204,4.2042
107,0.0,0.0,1.0,0.0,0.0,0.0,0.0,300.0,26.9,7.5852,4.6354
108,0.0,0.0,1.0,0.0,0.0,0.0,0.0,320.0,27.8,7.6156,4.7716
109,0.0,0.0,1.0,0.0,0.0,0.0,0.0,514.0,30.5,10.03,6.018
110,0.0,0.0,1.0,0.0,0.0,0.0,0.0,556.0,32.0,10.2565,6.3875
111,0.0,0.0,1.0,0.0,0.0,0.0,0.0,840.0,32.5,11.4884,7.7957
112,0.0,0.0,1.0,0.0,0.0,0.0,0.0,685.0,34.0,10.881,6.864
113,0.0,0.0,1.0,0.0,0.0,0.0,0.0,700.0,34.0,10.6091,6.7408
114,0.0,0.0,1.0,0.0,0.0,0.0,0.0,700.0,34.5,10.835,6.2646
115,0.0,0.0,1.0,0.0,0.0,0.0,0.0,690.0,34.6,10.5717,6.3666
116,0.0,0.0,1.0,0.0,0.0,0.0,0.0,900.0,36.5,11.1366,7.4934
117,0.0,0.0,1.0,0.0,0.0,0.0,0.0,650.0,36.5,11.1366,6.003
118,0.0,0.0,1.0,0.0,0.0,0.0,0.0,820.0,36.6,12.4313,7.3514
119,0.0,0.0,1.0,0.0,0.0,0.0,0.0,850.0,36.9,11.9286,7.1064
120,0.0,0.0,1.0,0.0,0.0,0.0,0.0,900.0,37.0,11.73,7.225
121,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1015.0,37.0,12.3808,7.4624
122,0.0,0.0,1.0,0.0,0.0,0.0,0.0,820.0,37.1,11.135,6.63
123,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1100.0,39.0,12.8002,6.8684
124,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1000.0,39.8,11.9328,7.2772
125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1100.0,40.1,12.5125,7.4165
126,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1000.0,40.2,12.604,8.142
127,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1000.0,41.1,12.4888,7.5958
128,0.0,0.0,0.0,1.0,0.0,0.0,0.0,200.0,30.0,5.568,3.3756
129,0.0,0.0,0.0,1.0,0.0,0.0,0.0,300.0,31.7,5.7078,4.158
130,0.0,0.0,0.0,1.0,0.0,0.0,0.0,300.0,32.7,5.9364,4.3844
131,0.0,0.0,0.0,1.0,0.0,0.0,0.0,300.0,34.8,6.2884,4.0198
132,0.0,0.0,0.0,1.0,0.0,0.0,0.0,430.0,35.5,7.29,4.5765
133,0.0,0.0,0.0,1.0,0.0,0.0,0.0,345.0,36.0,6.396,3.977
134,0.0,0.0,0.0,1.0,0.0,0.0,0.0,456.0,40.0,7.28,4.3225
135,0.0,0.0,0.0,1.0,0.0,0.0,0.0,510.0,40.0,6.825,4.459
136,0.0,0.0,0.0,1.0,0.0,0.0,0.0,540.0,40.1,7.786,5.1296
137,0.0,0.0,0.0,1.0,0.0,0.0,0.0,500.0,42.0,6.96,4.896
138,0.0,0.0,0.0,1.0,0.0,0.0,0.0,567.0,43.2,7.792,4.87
139,0.0,0.0,0.0,1.0,0.0,0.0,0.0,770.0,44.8,7.68,5.376
140,0.0,0.0,0.0,1.0,0.0,0.0,0.0,950.0,48.3,8.9262,6.1712
141,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1250.0,52.0,10.6863,6.9849
142,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1600.0,56.0,9.6,6.144
143,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1550.0,56.0,9.6,6.144
144,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1650.0,59.0,10.812,7.48
145,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.7,9.3,1.7388,1.0476
146,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.5,10.0,1.972,1.16
147,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,10.1,1.7284,1.1484
148,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.7,10.4,2.196,1.38
149,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.8,10.7,2.0832,1.2772
150,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.7,10.8,1.9782,1.2852
151,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,11.3,2.2139,1.2838
152,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.9,11.3,2.2139,1.1659
153,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.8,11.4,2.2044,1.1484
154,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.2,11.5,2.0904,1.3936
155,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.4,11.7,2.43,1.269
156,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.2,12.1,2.277,1.2558
157,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.7,13.2,2.8728,2.0672
158,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.9,13.8,2.9322,1.8792
